playoff,year,tmID,lost,o_reb,home_win_pct,away_win_pct,conf_win_rate,scoring_efficiency,reb_efficiency,defensive_pts_efficiency,def_reb_efficiency,off_reb_efficiency,ast_to_ratio,steals_per_game,blocks_per_game,playoff_win_pct
Y,3,CHA,14,955,0.6875,0.4375,0.5714285714285714,1.2519553072625698,0.5335195530726257,66.65625,0.5063641394576647,0.5335195530726257,1.2156862745098038,7.53125,3.28125,0.5714285714285714
Y,4,CHA,16,971,0.7647058823529411,0.2941176470588235,0.5,1.178628389154705,0.5162147793726741,64.55882352941177,0.5294426919032598,0.5162147793726741,1.004024144869215,8.205882352941176,3.3823529411764706,0.0
N,5,CHA,18,872,0.5882352941176471,0.3529411764705882,0.4,1.1995412844036697,0.5,63.76470588235294,0.515527950310559,0.5,0.8893528183716075,6.176470588235294,3.941176470588236,0.5
N,6,CHA,28,925,0.2941176470588235,0.0588235294117647,0.2,1.095138525875588,0.483533716675379,68.67647058823529,0.558792372881356,0.483533716675379,0.9214953271028036,8.352941176470589,3.323529411764706,0.0
N,7,CHA,23,1094,0.4117647058823529,0.2352941176470588,0.3,1.1276400367309458,0.5022956841138659,75.61764705882354,0.5770125639832481,0.5022956841138659,0.9181184668989548,9.264705882352942,4.5588235294117645,0.3333333333333333
N,7,CHI,29,1037,0.1764705882352941,0.1176470588235294,0.2,1.0675862068965518,0.4767816091954023,79.02941176470588,0.5770843036795529,0.4767816091954023,0.9658444022770398,8.147058823529411,3.676470588235294,0.5
N,8,CHI,20,1165,0.3529411764705882,0.4705882352941176,0.3,1.108915239350022,0.5116381203337725,76.79411764705883,0.5461435577351761,0.5116381203337725,1.1705882352941177,7.705882352941177,3.294117647058824,0.3333333333333333
N,9,CHI,22,1127,0.4705882352941176,0.2352941176470588,0.5,1.177142857142857,0.5366666666666666,73.82352941176471,0.5265546981389015,0.5366666666666666,1.0438095238095235,7.911764705882353,4.382352941176471,0.5
N,10,CHI,18,1083,0.7058823529411765,0.2352941176470588,0.4545454545454545,1.204588014981273,0.5070224719101124,79.20588235294117,0.509475539885412,0.5070224719101124,1.0,7.323529411764706,4.0588235294117645,0.0
Y,1,CLE,15,934,0.8125,0.25,0.6190476190476191,1.1952954048140043,0.5109409190371991,66.3125,0.4957410562180579,0.5109409190371991,1.0018587360594795,8.09375,2.84375,0.8571428571428571
Y,2,CLE,10,959,0.875,0.5,0.7142857142857143,1.1322033898305084,0.5418079096045197,55.875,0.5106017191977077,0.5418079096045197,1.132882882882883,8.34375,2.59375,0.0
N,3,CLE,22,969,0.25,0.375,0.3333333333333333,1.137912087912088,0.5324175824175824,66.875,0.5005452562704471,0.5324175824175824,1.06430155210643,6.90625,2.59375,0.6
Y,4,CLE,17,1069,0.6470588235294118,0.3529411764705882,0.5416666666666666,1.128607594936709,0.5412658227848102,65.0,0.5210171250648676,0.5412658227848102,1.109442060085837,6.647058823529412,2.5294117647058822,0.6
Y,4,CON,16,1095,0.5882352941176471,0.4705882352941176,0.4583333333333333,1.1341579448144623,0.5209324452901998,70.8529411764706,0.5598859315589354,0.5209324452901998,1.1981566820276497,7.9411764705882355,3.264705882352941,0.0
Y,5,CON,16,1045,0.5882352941176471,0.4705882352941176,0.7,1.1384690394929302,0.5095075572891272,67.76470588235294,0.532565130260521,0.5095075572891272,1.238095238095238,8.794117647058824,2.823529411764706,1.0
Y,6,CON,8,1110,0.8235294117647058,0.7058823529411765,0.65,1.2217283950617284,0.5481481481481482,66.0,0.5133333333333333,0.5481481481481482,1.2676991150442478,6.941176470588236,3.823529411764706,0.3333333333333333
Y,7,CON,8,1268,0.8235294117647058,0.7058823529411765,0.75,1.2107400722021662,0.572202166064982,71.08823529411765,0.4891811624946967,0.572202166064982,1.2256809338521402,7.411764705882353,4.5,0.4
